,title,directors,year,genre,runtime,theater,screen_date,screen_times,wiki_id,revenue,revenue_processed,cpi
41,My Own Private Idaho,Gus Van Sant,1991,Drama,0 days 01:44:00,Coolidge Corner Theatre,6/9/24,2:00 PM,https://en.wikipedia.org/wiki/My_Own_Private_Idaho,$8.1 million (North America and United Kingdom),8.1,136.1666667
42,"Kim Ji-young, Born 1982",Kim Do-young,2019,Drama,0 days 01:59:00,Museum of Fine Arts,6/9/24,2:30 PM,"https://en.wikipedia.org/wiki/Kim_Ji-young,_Born_1982_(film)",US$27.7 million[1],27.7,255.6525833
43,Rear Window,Alfred Hitchcock,1954,Thriller,0 days 01:55:00,Coolidge Corner Theatre,6/10/24,7:00 PM,https://en.wikipedia.org/wiki/Rear_Window,$37 million[3],37,26.865
44,Young Soul Rebels,Isaac Julien,1991,Drama,0 days 01:45:00,Coolidge Corner Theatre,6/11/24,7:00 PM,https://en.wikipedia.org/wiki/Young_Soul_Rebels,"£33,246 (UK)[1]",0.033246,136.1666667
45,Us,Jordan Peele,2019,Horror,0 days 01:56:00,The Brattle,6/11/24,7:00 PM,https://en.wikipedia.org/wiki/Us_(2019_film),$256.1 million[5],256.1,255.6525833
46,The Shining,Stanley Kubrick,1980,Horror,0 days 02:24:00,The Brattle,6/12/24,6:00 PM,https://en.wikipedia.org/wiki/The_Shining_(film),$47.3 million[6],47.3,82.38333333
47,Us,Jordan Peele,2019,Horror,0 days 01:56:00,The Brattle,6/12/24,9:00 PM,https://en.wikipedia.org/wiki/Us_(2019_film),$256.1 million[5],256.1,255.6525833
48,The Shining,Stanley Kubrick,1980,Horror,0 days 02:24:00,The Brattle,6/13/24,6:00 PM,https://en.wikipedia.org/wiki/The_Shining_(film),$47.3 million[6],47.3,82.38333333
49,Selena,Gregory Nava,1997,Drama,0 days 02:07:00,Coolidge Corner Theatre,6/13/24,7:00 PM,https://en.wikipedia.org/wiki/Selena_(film),$35.7 million[1](United States),35.7,160.525
50,Us,Jordan Peele,2019,Horror,0 days 01:56:00,The Brattle,6/13/24,9:00 PM,https://en.wikipedia.org/wiki/Us_(2019_film),$256.1 million[5],256.1,255.6525833
51,V for Vendetta,James McTeigue,2006,Action,0 days 02:12:00,Coolidge Corner Theatre,6/14/24,11:59 PM,https://en.wikipedia.org/wiki/V_for_Vendetta_(film),$134.7 million[4],134.7,201.5583333
52,Parasite,Bong Joon-ho,2019,Comedy,0 days 02:13:00,Museum of Fine Arts,6/14/24,7:00 PM,https://en.wikipedia.org/wiki/Parasite_(2019_film),$262.1 million[7],262.1,255.6525833
53,Watchmen,Zack Snyder,2009,Action,0 days 02:43:00,Coolidge Corner Theatre,6/15/24,11:30 PM,https://en.wikipedia.org/wiki/Watchmen_(film),$187 million[3][7],187,214.5646667
54,Anselm,Wim Wenders,2023,Documentary,0 days 01:33:00,Museum of Fine Arts,6/15/24,2:30 PM,https://en.wikipedia.org/wiki/Anselm_(film),$1.4 million[2],1.4,304.70075
55,Union Station,Rudolph Maté,1950,Drama,0 days 01:21:00,The Brattle,6/16/24,12:00 PM,https://en.wikipedia.org/wiki/Union_Station_(film),"$1,425,000[1]",0.1425,24.0625
56,Field of Dreams,Phil Alden Robinson,1989,Drama,0 days 01:47:00,Coolidge Corner Theatre,6/17/24,7:00 PM,https://en.wikipedia.org/wiki/Field_of_Dreams,$84.4 million[4],84.4,123.9416667
57,Nope,Jordan Peele,2022,Horror,0 days 02:10:00,The Brattle,6/18/24,6:15 PM,https://en.wikipedia.org/wiki/Nope_(film),$172.3 million[3][4],172.3,292.6205833
58,Edward II,Derek Jarman,1991,History,0 days 01:30:00,Coolidge Corner Theatre,6/18/24,7:00 PM,https://en.wikipedia.org/wiki/Edward_II_(film),"$694,438[2]",0.694438,136.1666667
59,Neon Genesis Evangelion: The End of Evangelion,"Hideaki Anno, Kazuya Tsurumaki",1997,Animation,0 days 01:27:00,The Brattle,6/18/24,9:00 PM,https://en.wikipedia.org/wiki/The_End_of_Evangelion,¥2.47 billion[1] / $19 million,2.47,160.525
60,Neon Genesis Evangelion: The End of Evangelion,"Hideaki Anno, Kazuya Tsurumaki",1997,Animation,0 days 01:27:00,The Brattle,6/19/24,9:00 PM,https://en.wikipedia.org/wiki/The_End_of_Evangelion,¥2.47 billion[1] / $19 million,2.47,160.525
61,Nope,Jordan Peele,2022,Horror,0 days 02:10:00,The Brattle,6/19/24,6:15 PM,https://en.wikipedia.org/wiki/Nope_(film),$172.3 million[3][4],172.3,292.6205833
62,Signs,M. Night Shyamalan,2002,Drama,0 days 01:46:00,The Brattle,6/20/24,4:00 PM,https://en.wikipedia.org/wiki/Signs_(film),$408.2 million[4],408.2,179.8666667
63,Nope,Jordan Peele,2022,Horror,0 days 02:10:00,The Brattle,6/20/24,8:45 PM,https://en.wikipedia.org/wiki/Nope_(film),$172.3 million[3][4],172.3,292.6205833
64,Cool World,Ralph Bakshi,1992,Animation,0 days 01:42:00,Coolidge Corner Theatre,6/21/24,11:59 PM,https://en.wikipedia.org/wiki/Cool_World,$14.1 million[3],14.1,140.3083333
65,Ravenous,Antonia Bird,1999,Adventure,0 days 01:41:00,The Brattle,6/21/24,8:30 PM,https://en.wikipedia.org/wiki/Ravenous_(1999_film),$2 million,2,166.5833333
66,Fallen Leaves,Aki Kaurismäki,2023,Romance,0 days 01:21:00,The Brattle,6/21/24,4:30 PM,https://en.wikipedia.org/wiki/Fallen_Leaves_(film),US$8.6 million[4][5],8.6,304.70075
67,Mystery Men,Kinka Usher,1999,Adventure,0 days 02:01:00,Coolidge Corner Theatre,6/22/24,11:59 PM,https://en.wikipedia.org/wiki/Mystery_Men,$33.5 million[2],33.5,166.5833333
68,Drive-Away Dolls,Ethan Coen,2024,Comedy,0 days 01:24:00,The Brattle,6/22/24,5:45 PM,https://en.wikipedia.org/wiki/Drive-Away_Dolls,$7.9 million[3][4],7.9,312.513125
69,Love Lies Bleeding,Rose Glass,2024,Crime,0 days 01:44:00,The Brattle,6/22/24,3:30 PM,https://en.wikipedia.org/wiki/Love_Lies_Bleeding_(2024_film),$12.5 million[5][6],12.5,312.513125
70,Inside the Yellow Cocoon Shell,Phạm Thiên Ân,2023,Drama,0 days 02:59:00,The Brattle,6/22/24,12:00 PM,https://en.wikipedia.org/wiki/Inside_the_Yellow_Cocoon_Shell,"US$348,738[2]",0.348738,304.70075
71,Perfect Days,Wim Wenders,2023,Drama,0 days 02:04:00,The Brattle,6/23/24,3:30 PM,https://en.wikipedia.org/wiki/Perfect_Days,$25.6 million[2][3],25.6,304.70075
72,Immaculate,Michael Mohan,2024,Horror,0 days 01:29:00,The Brattle,6/24/24,7:00 PM,https://en.wikipedia.org/wiki/Immaculate_(2024_film),$28.4 million[4][5],28.4,312.513125
73,Invasion of the Body Snatchers,Don Siegel,1956,SciFi,0 days 01:20:00,Coolidge Corner Theatre,6/24/24,7:00 PM,https://en.wikipedia.org/wiki/Invasion_of_the_Body_Snatchers,$3 million,3,27.19083333
74,Late Night with the Devil,"Cameron Cairnes, Colin Cairnes",2024,Horror,0 days 01:33:00,The Brattle,6/24/24,5:00 PM,https://en.wikipedia.org/wiki/Late_Night_with_the_Devil,$15.4 million[3],15.4,312.513125
75,How to Have Sex,Molly Manning Walker,2023,Drama,0 days 01:31:00,The Brattle,6/25/24,5:00 PM,https://en.wikipedia.org/wiki/How_to_Have_Sex,$1.2 million[3][4],1.2,304.70075
76,Sometimes I Think About Dying,Rachel Lambert,2024,Romance,0 days 01:31:00,The Brattle,6/25/24,7:00 PM,https://en.wikipedia.org/wiki/Sometimes_I_Think_About_Dying,"$245,127[3][4]",0.245127,312.513125
77,Nowhere,Gregg Araki,1997,Comedy,0 days 01:23:00,Coolidge Corner Theatre,6/25/24,7:00 PM,https://en.wikipedia.org/wiki/Nowhere_(1997_film),"$194,201[1]",0.194201,160.525
78,Tótem,Lila Avilés,2023,Drama,0 days 01:35:00,The Brattle,6/26/24,4:45 PM,https://en.wikipedia.org/wiki/Tótem_(film),"$165,444[1][2]",0.165444,304.70075
79,La Chimera,Alice Rohrwacher,2023,Adventure,0 days 02:13:00,The Brattle,6/27/24,5:15 PM,https://en.wikipedia.org/wiki/La_chimera,$5.2 million[4],5.2,304.70075
80,Charlie's Angels,McG,2000,Action,0 days 01:38:00,Coolidge Corner Theatre,6/27/24,7:00 PM,https://en.wikipedia.org/wiki/Charlie's_Angels_(2000_film),$264.1 million[2],264.1,172.1916667
81,The Beast,Bertrand Bonello,2024,Drama,0 days 02:27:00,The Brattle,6/27/24,8:00 PM,https://en.wikipedia.org/wiki/The_Beast_Within_(2024_film),"$51,860 ",0.05186,312.513125
82,300,Zack Snyder,2007,Action,0 days 01:56:00,Coolidge Corner Theatre,6/28/24,11:59 PM,https://en.wikipedia.org/wiki/300_(film),$456 million[4],456,207.3441667
83,Sin City,"Robert Rodriguez, Frank Miller",2005,Thriller,0 days 02:04:00,Coolidge Corner Theatre,6/29/24,11:59 PM,https://en.wikipedia.org/wiki/Sin_City_(film),$158.7 million[2],158.7,195.2666667
84,Go Fish,Rose Troche,1994,Drama,0 days 01:23:00,Coolidge Corner Theatre,6/30/24,2:00 PM,https://en.wikipedia.org/wiki/Go_Fish_(film),$2.5 million (US)[3],2.5,148.225
85,Speed,Jan de Bont,1994,Action,0 days 01:56:00,Coolidge Corner Theatre,7/1/24,7:00 PM,https://en.wikipedia.org/wiki/Speed_(1994_film),$350.4 million[3],350.4,148.225
86,Jennifer's Body,Karyn Kusama,2009,Horror,0 days 01:47:00,Coolidge Corner Theatre,7/27/24,11:59 PM,https://en.wikipedia.org/wiki/Jennifer's_Body,$31.6 million,31.6,214.5646667
87,They Live,John Carpenter,1988,SciFi,0 days 01:33:00,Somerville Theatre,7/27/24,11:59 PM,https://en.wikipedia.org/wiki/They_Live,$13.4 million (North America)[1],13.4,118.275
88,The Red Shoes,"Emeric Pressburger, Michael Powell",1948,Drama,0 days 02:13:00,The Brattle,7/28/24,3:45 PM,https://en.wikipedia.org/wiki/The_Red_Shoes_(1948_film),$5 million (U.S. and Canada rentals)[3],5,24.045
89,The Killer Shrews,Ray Kellogg,1959,Horror,0 days 01:09:00,Somerville Theatre,7/28/24,1:20 PM,https://en.wikipedia.org/wiki/The_Killer_Shrews,$1 million,1,29.15
90,Funny Girl,William Wyler,1968,Comedy,0 days 02:35:00,The Brattle,7/29/24,6:30 PM,https://en.wikipedia.org/wiki/Funny_Girl_(film),$58.5 million[2],58.5,34.79166667
91,Total Recall,Paul Verhoeven,1990,Action,0 days 01:53:00,Coolidge Corner Theatre,7/29/24,7:00 PM,https://en.wikipedia.org/wiki/Total_Recall_(1990_film),$261.4 million,261.4,130.6583333
92,Oliver!,Carol Reed,1968,Drama,0 days 02:33:00,The Brattle,7/30/24,3:30 PM,https://en.wikipedia.org/wiki/Oliver!_(film),$40 million,40,34.79166667
93,Terror of Mechagodzilla,Ishirō Honda,1975,SciFi,0 days 01:23:00,Coolidge Corner Theatre,7/30/24,7:00 PM,https://en.wikipedia.org/wiki/Terror_of_Mechagodzilla,¥330 million (Japan rentals)[2][3]  <$20 million (worldwide)[1],330,53.825
94,The Beguiled,Sofia Coppola,2017,Drama,0 days 01:33:00,The Brattle,7/31/24,8:00 PM,https://en.wikipedia.org/wiki/The_Beguiled_(2017_film),$27.9 million[3],27.9,245.121
95,Godzilla 2000: Millennium,Takao Okawara,1999,Action,0 days 01:47:00,The Greenway,7/31/24,8:00 PM,https://en.wikipedia.org/wiki/Godzilla_2000,$27 million[4],27,166.5833333
96,Sorcerer,William Friedkin,1977,Thriller,0 days 02:01:00,The Brattle,8/1/24,7:00 PM,https://en.wikipedia.org/wiki/Sorcerer_(film),$5.9 million (theatrical and rentals)[4]$9 million (worldwide)[5],5.9,60.61666667
97,E.T. the Extra-Terrestrial,Steven Spielberg,1982,SciFi,0 days 01:55:00,Capitol Theatre,8/1/24,7:30 PM,https://en.wikipedia.org/wiki/E.T._the_Extra-Terrestrial,$792.9 million[3][5],792.9,96.53333333
98,Wake in Fright,Ted Kotcheff,1971,Drama,0 days 01:49:00,The Brattle,8/1/24,4:30 PM,https://en.wikipedia.org/wiki/Wake_in_Fright,"$321,323 (Australia re-release)[7]
$50,394 (US re-release)[8]",0.321323,40.48333333
